Gene,Coef
CBR1,0
TGIF1,0
PHKG2,0
CARM1,0
PHTF1,0.028788952
LPAR6,-0.010046934
LPIN1,-0.102323734
MBNL3,0
SRM,0
MXD1,0
SREK1,0
B3GNT2,0
DYNC1H1,0
RDX,0
AAMDC,0
LUZP1,0
RUVBL1,0
GSDMB,-0.051532577
RPA3,0
IFIT3,0
STRN4,0
MYO1C,0
CWC25,0
DPM3,0
STRN3,0
RNMT,0
PMVK,0
PTPRN2,0
ENDOD1,0
ZMAT3,0
LONP1,0
DMXL1,0
SLC39A4,0
PLCG1,0
CERS6,0
APBA2,0
PAXBP1,0
PREPL,0
PIEZO1,-0.122183405
MED7,0
GLRX3,0
SUN1,-0.063171934
DNAJC2,-0.128468663
DNAJC15,0
RPAP3,0
OAS3,0
ITGA6,-0.00024215
EP400,0
UFSP2,0
SOX4,0
SIN3B,0
IFI44,0
ATN1,0
RASGRP1,-0.103516736
RRAS,0
ERAL1,0
PDCL3,0
GPR107,0.120029482
CDYL,0
ECI1,-0.040819663
EMILIN2,0
CBX5,0
TNFSF12,0
GNB5,0
CD2AP,0
RTP4,0
PCNT,0
TBC1D4,0
RAB11FIP2,0
SBF1,0
TIAM1,-0.006880452
MTIF2,0
ROCK2,0
POP7,0
NUDT1,0
NR4A1,0
WBP4,0.118047623
CCR5,0
ZBTB40,0
TARBP1,0
KIAA0319L,0
CD320,-0.170275371
PPP2R5E,0
CD79B,0
FRMD4B,0
PHF10,-0.072590032
ZC3H7B,0
RRM1,0
ABHD14A,0
CAPRIN2,0
CRADD,0
PURA,-0.100000977
CKAP5,0
C1orf35,0
TNFSF14,0
VRK1,0
IFIT2,0
IDE,0
SH3YL1,-0.031104668
BBC3,0
GALT,-0.028046298
SLC12A6,0
SLC4A7,-0.095598544
TRIM24,0
RPGR,0
NXPE3,0
HAUS2,0
IKBKE,0
ACOT13,0
RPP38,0
UGCG,0.009041631
ST8SIA4,0
ZDHHC24,0
POU2F2,0
RMDN1,0.015221205
DSTYK,0
SH2D2A,0
ANKRD28,0.012723429
PUS3,0
MCM4,0
CUL9,0
MLH1,0
RIPK1,0
TSPAN32,0
ERAP2,0
DHX30,0
LARP7,0.03453131
ZBTB14,0
TPMT,0
HUS1,0
TFDP2,0
STX18,0
CHST7,0
SUPT6H,0
CRIPT,0
VIPR1,0
KIF3B,0
DROSHA,0
DEF8,0
RRP8,0
ACVR1,0
REV1,0
KIFAP3,0
MICALL1,0
ATF5,0
MPHOSPH10,-0.036372871
NOP16,0
MEF2D,0
ZBP1,0
WDR73,0
NFX1,-0.074215581
GMCL1,0
POFUT2,0
CD8B,-0.038766678
SH2D1A,-0.042328352
C8orf33,-0.043385766
ZBTB24,0
NABP1,0
SLC2A4RG,0
MSH3,0.048257757
ZNF646,0
AXIN1,0
ETFDH,0.120481973
CREB3L2,0
TP53TG1,0
CYB5A,0
HELZ,0
FGFR1,0
CREM,0
AGO1,0
PIK3CA,0
TTC33,0.062907867
TPCN1,0
TRIM37,0
GTF3C3,0
TSPAN2,0.038821541
APPL1,0
PAICS,0
MYL6B,0
ATG2B,0
TXLNA,0
FABP5,0
MAFG,0
KDM5C,0
AKT3,-0.044106043
NT5C,0
GGA2,0
GTF2F2,0
C11orf71,0
KLRB1,-0.005109324
RAD17,0
IFT57,0.01781594
CPPED1,0
AHR,0
ATP11A,0.046889661
SSBP3,0
NFKB2,0
IPO9,-0.062120565
SCCPDH,0
DENND4C,0
ITPR2,0
PEX1,0
PLCB1,0
ZMYM4,0
STX2,0
LDLRAD4,0.016693299
TESPA1,0
MAP3K1,0
FUT8,0
CKS2,0
SYNJ2,0
ARL2,0
DNM1L,0
YEATS4,0
XRCC4,0.141025259
MYBL1,0
HIRIP3,0
HRAS,0
SIGMAR1,0
MAK16,-0.036287162
CREB5,0
IFT74,0
SOCS5,0
CEP68,0
PPP1R12B,-0.040602783
ADAT1,0
ASCC3,0
PLEKHF1,0
RBM28,0
ST3GAL5,-0.110581021
ZBTB16,0
ZNF318,0
SLC16A1,0
TIMM13,0
ANKRD40,0
ALPK1,0
SLC2A6,0
WWP1,0
PFDN4,0
ENOX2,0
BRCC3,0
TRAF5,-0.022500526
CEBPG,0
IKZF4,0
CAAP1,0
LTBP3,0
SNAPC4,0
BMS1,-0.082962105
NAA40,0
STMN1,0
HSPH1,-0.041407257
TCOF1,0
AGER,0
TRAT1,0
DYNC1LI2,0
CDK8,0
HEMK1,0
ZCCHC2,0
MALT1,0
TPRKB,0
MRPL13,0.032126055
REV3L,-0.006231026
TGIF2,-0.084023645
AKAP1,-0.155133372
BCOR,0
SLC35E3,0
KMT2A,-0.059174645
CINP,0
MBIP,0
CORO7,0
TRAPPC10,0
CEP104,0
MPHOSPH6,0.029542645
EEA1,0
SYT11,0
CDKN2A,0
CDR2,0
SYCP2,0
RINT1,0
DENND4A,0
UAP1,0
STK39,0
KLRD1,0
SMARCAL1,0
C1orf56,0
DPP3,0.083718402
PAK1IP1,0
GOLGA2,0
NDUFAF4,0
PRKAR1B,0
PBX3,0
NAPG,0
CDC14A,0
ZNF593,-0.099874628
GMNN,0
TRIB2,-0.05487809
SLAMF7,0
TTF2,0
RAB33A,0
SIRPG,0
ZNF562,0
FXN,-0.047550765
AMIGO2,0
PASK,-0.056642467
LYRM4,0
JUN,-0.007508674
DNAJC3,0
SMIM14,0
GFER,0
DCUN1D4,0
BCAP29,0.200945504
RBMX2,0
PDE4DIP,0
EAF2,0
SQLE,0
DBF4,0
AP5S1,0
POU2F1,0
RUFY2,-0.005071298
TRAM2,0
PMAIP1,0
NRAS,0
DDX52,0.104658251
EEF1E1,0
TSHZ2,0
C2orf49,0
PRR5,0
ORC3,0
BTBD7,0
LAX1,-0.018969675
EZH2,0
DUSP2,0
UBIAD1,0
MAST4,0
APOOL,0
ING2,0
MDM4,0
TMEM260,0
SNAPC3,0
CLCC1,-0.079012378
PCCB,0
IFI44L,0
PLCL1,0
TCEAL4,0
ORC2,0
DBN1,0
ECI2,-0.056686273
HIPK2,0.098448109
NF1,0.00692817
NCAPG2,0
C21orf91,0
WDR3,0
ETV6,0
CRYBG3,0
EBNA1BP2,0
MTHFR,0
CROCC,-0.160455283
HAUS6,0
CENPC,0
MDM2,0
PPARA,0
PHYH,0
IRF4,0
KLRC1,-0.018866229
CD38,0
PLK3,0
PPRC1,-0.064443202
NDUFS4,0
ICA1,0
ALDH6A1,0
YOD1,0
SIT1,-0.00993612
TTC9,0
FBXW7,0
UBE2O,0
THOC2,0
ZNF614,0
RAB3GAP2,0
RABEP1,0
CD244,-0.070842406
BTG3,0
HMBOX1,0
BTD,0
HLTF,0
IFT88,0
HPS5,0
AKR1C3,0
SLC25A4,0
GPATCH1,0
UBXN7,0
RBM12B,0
BACH2,-0.006139549
NET1,0
GNE,0
SREK1IP1,0.051049998
DUSP10,0
ZSCAN32,0
SMAD5,-0.114445175
KLF13,0
AP1AR,0
NDC80,0
REL,0
LYRM2,-0.035963259
ZMYM5,0
MTRF1L,0.112524949
GPALPP1,0
PCSK5,0
SCRIB,0
ZBTB20,0
DNAJC11,0
DECR2,0
BCL2L11,0
ZNF84,-0.097671856
ZNF701,0
KLRF1,0
LIMD1,0
CASD1,0
GPR18,-0.052596251
ATF7IP2,0
RAPGEF1,0
MKI67,0
MRPL48,0
RRAS2,0
MYB,0
MEGF8,0
SACS,0
APOO,0
HERC6,0
C1orf159,0
PCBD1,0
NIT2,0
ABCB1,0
SCML1,0
GPATCH4,0
DIS3,0
GCHFR,0
PTMS,0
VPS13A,0
ARHGAP5,0
CEP152,0
IL21R,0
RALGPS2,0
CD101,0
CYB561,-0.149911563
XIAP,0
CHI3L2,0
DENND1B,0
KIAA0586,0
NCR3,0
ACOT7,0
CAPN15,-0.023165912
WDR59,0
ATP10A,0
KLF12,-0.293748733
MANEA,0
P2RY10,-0.009645366
ZNHIT6,0
CD69,0
CEP164,0
ABCA5,0
CYSLTR1,0
UPF3B,0
ERCC8,0
GATAD1,-0.124524002
CLUAP1,0
CKS1B,0
GSE1,-0.070600713
ANAPC10,0
ARHGAP35,0
KDSR,0
SESN1,0
ESF1,0
PGPEP1,0
NCAPD3,0
WWOX,0
PACS1,0
SRD5A3,0
SPATS2L,0
DAAM1,0
PAN2,-0.158081286
NFIC,0
ASXL2,0
SMC2,0
DZIP3,0
GPN2,0
LTBP4,0
ZNF175,-0.07228399
NPM3,0
MIS18BP1,0
JAK3,0.001533611
SERGEF,0
HAUS3,0
PIGP,-0.05146931
CD226,0
NUDT15,-0.071437487
PHF20L1,0
YAF2,0
PCYOX1,0
PRR5L,0
TAF1B,0
MTAP,0
CEP250,0
CSNK1G1,0.067679939
TRMT13,-0.042234099
INPP5F,0
ALMS1,0
PLAG1,0
IKZF5,0
TRRAP,0
XAF1,0
RBBP5,0
STAU2,0.120441053
CENPF,0
ZNF609,0
MDC1,0
CEP41,0
PTGDR,0
PAFAH1B2,0
MLH3,0
RBFA,0
CRTAM,-0.02280395
MLLT11,0
LIPT1,0
IVD,0
BAG3,-0.006082895
COX20,0
OXR1,0
PDCD11,-0.243226743
CCDC88A,0
PTPRJ,0
TKTL1,-0.053274603
RNF125,0
ACADSB,0
SYNJ2BP,-0.105816493
USP53,0
TCEAL1,0
BLM,0.008090653
SPRY1,0.053853382
ING3,0
GADD45G,0
TMOD2,0
DHTKD1,0
MED1,0
MGA,-0.057510427
NR1D2,-0.162072142
RNF19A,0
ZNF91,-0.092583372
MYNN,0
TAPT1,0
NOL6,0
LY6G5C,0
LHPP,0
PEMT,0
CLIC3,0
NETO2,0
LIG1,0
BRPF1,0
ZNF248,0
GATA3,-0.032075589
GTPBP8,-0.082237654
STAT2,0
AFF3,0
ZNF544,0
NSUN6,0
RBBP8,0
GSTZ1,0
NUFIP1,-0.038202576
ITGB3BP,0
MAGOHB,0
PSAT1,0
METTL8,0
EIF2B3,0
LIMK1,0.046324927
LIG3,0
GUF1,0
DNPH1,-0.037636451
ZNF652,-0.02974524
SCARB2,0
ZBED4,0
PHACTR2,0.039871814
FANCI,0
SCAPER,0
GZMM,-0.062478965
NRDE2,0
TTBK2,0
ULK2,0
HIVEP3,0
OSGIN2,0
AFG3L2,0
LLPH,0
TBC1D22B,0
MDN1,-0.158180173
RPAP2,0.021087789
POLR3D,0
SPIN1,0
CD83,-0.038458162
INPP4B,-0.037774348
TRAF1,0
KNOP1,0
OSBPL3,0
KIF13B,0
KAT6B,0
APOL6,0
TRIP11,0
EGR1,0
GSPT2,0
KLC2,0
ZC2HC1A,0
COG2,0
NMT2,0
PRR14L,0
TIMM9,0
SNTB2,0.023239997
TXK,-0.097758531
AHI1,0
RNF8,0
EXOSC2,0
BPNT1,0
R3HCC1L,0
AUTS2,0
MYOM2,0
C12orf43,0
PLEKHA2,0
COQ7,0
ZNF33B,0
ZBTB38,-0.036348487
ZKSCAN1,0
PALB2,0
ELP6,0
PHACTR4,0
ATXN7L1,0
PYHIN1,0
BMPR2,0
MLLT3,0
HOXB2,0
MYEF2,0
HOOK2,0
ZNF226,0
NAA15,-0.039750555
SAV1,0
QSER1,0
MCM2,0.121654911
EPHB6,0
CEP97,0
SPN,-0.017262255
CD84,0
ANKRD11,0
ID3,-0.026966702
ARHGAP10,0
PTPRM,0
CBLB,-0.017087143
APOM,0
CCDC6,0
NEK3,0
NCAPD2,0.021326838
MAP7D3,0
MAP3K2,0
MAN2A1,0
CENPM,0
GBF1,0
DUSP5,0
MAGED1,-0.02127284
USP27X,0
KLF7,0.036907982
TTF1,0
PRR7,0
NAT10,-0.175901492
RAD50,0
EDC3,0.018662676
SLAMF1,0
TAF1,0
ZWILCH,0
GPX7,0
DVL2,-0.019753993
IL12RB1,0
HYI,0
PDK1,-0.00594869
EHMT1,0
GEMIN6,0
MS4A1,-0.002183062
DHX57,0
ATAD2,0.040824036
TNIK,-0.043127732
NEK1,-0.015214451
TMEM97,0
TEX30,0
PERP,0
POMC,0
TIMM50,0
CCDC25,0
PABPN1,0
ZBTB43,0
CAMTA1,0
PLXNA3,0
NR2C2,0
NCDN,0
TGFBR1,0
CD70,0
TULP4,0
OSM,0
FAN1,-0.059264101
BARD1,0
FAM118A,-0.057178094
LIAS,0
TXLNG,-0.003689275
UTRN,-0.05192034
PXMP4,0
ZNF480,0
MYL5,0
NME6,0
FLNB,0
ENO2,0
SMUG1,0
LFNG,-0.043145921
LSR,0
MAN1C1,-0.060969343
IL7R,-0.027052367
ETV3,0
CAD,0
SMC6,0
NAALADL1,0
CDK6,0
HS3ST3B1,0
SYTL2,0
PUS7L,0
ATP8B2,-0.102590645
DDB2,0
MIS18A,0
DFFA,-0.066580962
GALNT6,0
ERN1,0
SUPT3H,0
ERICH1,0
S1PR5,0
CTC1,0
HRH2,0
RORA,-0.062726391
RABL6,0
INO80D,0
TNF,0
CCDC57,0
MRPS33,-0.028921847
CASK,0
RUNX2,0
SLC12A2,0
ERCC6,-0.116058827
ZNF654,0
TUBGCP4,0
PRIM1,0
ATP6V0A2,0
RBM19,0
MFHAS1,0
CORO2A,0.059676115
SH3BP1,-0.02023879
TTN,0
FAM204A,0
PRDM8,0
CBX4,0
C1orf21,0
YPEL1,0
IKZF3,0
ZNF507,0
GEMIN7,0
AGPAT4,0
XPNPEP3,0
CD5,-0.107334187
OTUD3,0
VEGFB,0
AP3M2,0
FHIT,-0.01870029
GPRASP1,-0.061451504
AGPAT3,0
CHRNB1,0
FBXL8,0.07020428
TNFSF8,0
MED31,0
DNAJA4,0
PARP3,0
CLEC11A,0
TGFBRAP1,0
NCALD,0
TCEA2,0
ERCC4,0
CCDC82,0
KCTD20,0
LIMA1,0
RAD54L2,0
ZCWPW1,0
SENP2,0
KLRG1,0
CAMK1D,0
DNASE1,0
ZBTB44,0
PDPR,0
ZNF264,0
ZDHHC19,0.034117788
CYSTM1,0.035086183
RGL4,0.02028851
CPEB4,0
PIK3AP1,0
PROK2,0
FBXO6,0
PPP1R3B,0
AGTRAP,0
FAM89A,0
GLIPR2,0
LACTB,0
RALGAPA2,0.098906539
EIF4E3,0
VMP1,0
EXOC6,0.004777293
RHOU,0.004537252
SLC40A1,0
CMPK2,0
ALYREF,0
TMED8,0.119054167
GPR160,0
UVSSA,0
PXK,0
PPM1N,0
TCP11L2,0
AIG1,0.078863842
ANKRD13A,0
RASGRP4,0
TNFSF13B,0
TIFA,0
ZYG11B,0
ANTXR2,0
MLKL,0.047901925
CEP19,0
PAG1,0.050436928
ARHGAP27,0
NFKBIZ,0
UBE2F,0.02786365
MYADM,0
SAMD9L,0
IDNK,0.037724472
MBD6,0
NMNAT1,0
TMEM167A,0
DNAJC5,0
DDX60L,0
PARP9,0
NUDT16,0
XRN2,0
SMAP2,0
PPM1M,0
SESTD1,0
IKBIP,0
RNF213,0
EMB,0
DPH3,0
DOCK11,0
PIM3,0
ARL8A,0.012964298
PREX1,0
C1orf162,0.040092701
ACSS2,0.033649514
STARD10,0
ERI1,0.016874143
BOD1L1,0
GNG2,0
TET2,0
SESN3,0
B3GNT8,0
PTAR1,0
SPPL2A,0
CMTM2,0
FAM210B,0
KDM1B,0
GPCPD1,0
FAM200B,0
FERMT3,0.034888663
CSRNP1,0
HNRNPLL,0
ARHGAP18,0.103860034
RAB34,0
MPP7,0.062039489
GPR155,0
CCDC125,0
PABPC1L,0
KMT2C,0
KIAA2013,0
UBE2R2,0
UBASH3B,0
HOOK3,0
TXNDC17,0
SNX9,0
POC1B,0
TECPR1,0
FAM177A1,0.019932545
KLHL6,0
C16orf87,0
SYTL3,0
TMEM107,0
ZSCAN30,0
RNPC3,0
CPNE2,0
SDCCAG8,0
UBALD2,0
NUFIP2,0
MIDN,0
PGM2L1,0
GBP5,0
RBM33,-0.182213262
RILPL2,0
PCGF5,0
EPSTI1,0
FAM107B,0
UBN2,0
ZNF655,0
ZDHHC12,0
GALM,0
MSI2,0
ZFP91,0
NFIA,0
NCOA7,0
ZNRF1,0
POLK,0
DTNBP1,0
TADA2B,0
TPRG1L,0
CHMP4B,0
TAB3,0
BRI3BP,0
BROX,0
PDE7A,-0.012498833
MRPS5,0
SUSD1,0.087453739
NDUFV3,0
FNIP2,0
FAM76B,0
HAVCR2,0
JAZF1,0
BRPF3,0
COG3,0
CPSF2,0
PHF19,0
CITED4,0
ZNF33A,0
PPP1R18,0
REEP3,0
LRRC58,0
POLE4,0
CHCHD5,0
ERCC6L2,0
SYAP1,0
LZIC,0
ESCO1,-0.006356954
FBXO33,0
NPHP3,0
RAB3IP,0.036636941
FBXW5,0
SKA2,0
ARL5B,0
TTL,0
VMA21,0
ESYT2,0
CCNY,0
NIFK,-0.00578378
RBM43,0
UTP23,0
TRIM41,0
GAB3,0
IRF2BP2,0
SENP1,0
C1orf122,0
TRIM69,0
WDFY1,0
ATP6V1E2,0
SNHG9,0
CREBRF,0
GLCCI1,0
DYNLL2,0
DTD1,0
SDHAF2,0
TMEM116,0
TCEANC,0
GINM1,0
SETD7,0
SMCR8,0
CCDC117,0
EIF2AK4,0
IFI27L2,0
UQCC2,0
CYB5D2,0.046871899
MAP1LC3A,0.00344512
FAM219B,0
CEP95,-0.023272354
CCDC34,0
CMTM3,0
GIMAP8,0
UBXN2A,0
TMEM216,0.054036464
CHCHD1,0
CDCA7,0
GBP4,0
FBXO45,0
NT5C3A,0
GBA2,0
C2orf69,0
FMN1,0.071726781
MTIF3,0
CMTM7,0
DHX36,0
TRABD2A,-0.094034841
CCDC137,0
SLFN11,0
TRMT6,0.0230885
SUDS3,0
SPECC1,0
RBMXL1,0
MPZL3,0
DNAH1,0
SERTAD1,0
LRRK2,0
ZC3H18,0
STRBP,0
ZNF644,0
CEP85L,-0.074522902
SDE2,0
SPTY2D1,0
ZNRF2,0
MRPL55,0
PARP14,0
DUSP16,0.011659678
LRRC8A,0
SWI5,0.026316611
EEPD1,0
ZNF445,0.048613538
SLC9A9,0
TNRC6A,0
METTL14,0
RGS18,0
RBM18,0
FAM217B,0
DTX3L,0
SWSAP1,0
RBM27,0
SNAI3,0
THUMPD3,0
YPEL3,0
CELA1,0
TNRC6C,0
TP53INP1,-0.007732846
TCEANC2,0
ATP11C,0
ISY1,0
FBXO32,0
FANCD2,0
PLEKHA8,0
IFI27L1,0
CMTM8,-0.042636419
CWF19L2,0
ALKBH5,0
GK5,0
C12orf76,0
UBXN11,0
MIB2,0
EBPL,0
PPP1R9B,-0.011827339
SOCS4,0
SLC39A3,0
LEO1,0
CHD6,0
ALKBH7,-0.044288787
TATDN3,0
CCSAP,0
TCHP,0
ZFPM1,0
ZNF317,-0.120344387
CACNA2D4,0
SPATA33,0
RRP36,0
ZMAT1,0
CCDC14,0
TNFAIP8L2,0
NTPCR,0
RPP25L,0
CCDC88B,0
C9orf85,0
MIB1,0
PARP10,0
STAMBPL1,0
DNAJC21,0
TPGS1,0
PSMG4,-0.067025717
RICTOR,-0.026617744
RAB11FIP4,0
KCNK6,0
POLR3A,0
GIGYF1,0
BDP1,0
PHPT1,0
ZNF326,0
ZFP1,0
GKAP1,0
PHF6,0
ING5,0.084165827
MLLT6,-0.096242088
ZFYVE28,0
TTC32,0
ZNF605,0
HSCB,0
ZNF429,0
KIF21A,0
SLFN5,-0.022649015
THAP2,0
JOSD2,0
CLPTM1L,0
SETDB2,0
COMTD1,0
JMY,0
RBAK,0.02222698
TCEAL3,0
STIM2,0
MYO1G,0
CCDC66,0
C3orf38,0
TUBGCP6,-0.003046411
SYTL1,0
DDHD1,0
ZNF621,0
ZNF836,0
MGME1,0
EXOC8,0
HSBP1L1,0
C15orf40,0
NHSL2,0
GPATCH11,0
SAMD3,-0.027966531
KLHL5,0
ARIH2OS,0
AEBP2,0
SEC11C,0
ZNF626,0
MSANTD4,0
MTX3,0
MRPL37,0
TRIM56,-0.023854251
VARS2,-0.120930821
NUDT17,0
PTPN23,0
TMEM154,0
PHAX,0
GBP3,0
MMAB,0
PDZD11,0
FAHD1,0
FRA10AC1,0
DUSP23,0
AASDH,-0.030855226
COA5,0
EPC2,0
TMCO4,-0.035104926
KLHL42,0
CCDC146,0
ZSWIM7,0
ZNF44,0
LYAR,0
KBTBD3,0
ZFAND2A,0
MAML2,-0.078616251
ZBTB4,0
MED19,0
ZCRB1,0
CCAR1,0
PUSL1,0
KCTD10,0.008307983
ZNF101,0
RELL2,0
ANKIB1,0
MCOLN2,-0.034859449
DIS3L,0
CCDC112,0
MPV17L2,0
TRMT10B,0
ZC3H6,0
PSMG3,0
GTSF1,0
C6orf226,0
PPP1R15B,0
TAF3,0
ZHX1,0
YBEY,0
NSRP1,0
TMIGD2,0
PTRHD1,0
ZBTB21,0
HSH2D,0
NDUFAF2,0
NSMF,-0.1721554
TTC16,0
CWC22,0
SNX29,0
CMC1,0
NRROS,-0.077746604
CISD3,0
TOX2,0
CCDC50,-0.059445969
ZNF566,0
CCDC167,0
INO80,0
TTC39C,-0.010307784
KIAA1143,0
GTF3C6,0
TAGAP,0
FUOM,0
LYPLAL1,0
DDX55,0
TMEM18,0
CEP78,0
ZSCAN29,0
SSBP4,0
MRPL10,-0.003491941
HINT2,-0.017696712
JAKMIP1,0
CCDC43,0
PPP1R35,0
SPSB2,0
CHRAC1,0
CWC27,0
HCST,0
SMYD4,0
ABI3,0
RCSD1,0
PATL2,-0.043968022
TYW3,0
ZNF514,0
COA6,0
CHCHD10,-0.017111042
MED29,0
DUSP28,0
STK32C,0
N4BP2,0
ZNF791,0
RAB37,0
ZC3H8,0
FBXO25,-0.187285758
SMIM20,0
BCL9L,-0.151453546
CIPC,0
RASAL3,0
EPB41L4A-AS1,0
BOLA3,0
METTL25,0
RPF2,0
SLC25A39,0
CDCA7L,0
ZNF558,0
C15orf61,0
GIMAP1,0
RIOK1,0
ZCCHC9,0
HAUS1,0
STRADB,0
TMEM181,0
STT3B,-0.037333109
TMEM126A,0
C12orf75,0
WHAMM,-0.076961131
TMEM42,-0.033372924
OTUD6B,0
HVCN1,-0.039364586
ARRDC3,0
SBK1,0
CCDC107,0
C1orf131,0
P2RY8,-0.102339317
PNPT1,0
CXXC5,-0.033604515
FCRL3,-0.011326579
SMIM19,0
BBS2,0
OXNAD1,-0.012344819
GCSAM,0
SLAMF6,0
MRPL1,0
ZNF766,0
ZC3H12D,0
PCED1B,-0.012872716
SLC39A10,-0.060459121
TSHZ1,-0.028758911
TIGIT,0
UHRF2,-0.037059988
SMARCAD1,-0.125465433
ZFP62,0
ARL14EP,-0.032063694
SHPRH,0
UBE2Q2,0
THEMIS,-0.030949058
ZNF600,0
EOMES,0
FGFBP2,-0.009125853
ACTG1,0
SLC16A3,0
RNASEK,0
PSME2,-0.016068928
GIMAP5,-0.079091321
HSPA1B,0
MXD4,0
HLA-DRB5,0
PYCR2,0
SP140,0
RINL,0
ZC3H12A,0
GMPPB,0.004664
ZNF131,0
UBE2V1,0
AMY2B,0
NDUFAF6,0
POU2AF1,0
SCLT1,0
UTP14C,0
ZNF841,0
FCRL6,-0.000542178
APOBEC3H,0
ZNF37A,0
RIF1,0
METTL16,0
PER1,0
LRRC8C,0
SPON2,-0.022127479
ZEB1,0
